"<Run Result>";"design variable 1 (Model.STK.Mono_BLOS_03.POLHEO1.Propagator.ApogeeAltitude)";"design variable 2 (Model.STK.Mono_BLOS_03.POLHEO1.Propagator.PerigeeAltitude)";"response (Model.STK.Mono_BLOS_03.POL_Cov_Def.CovTime_Perc_FoM.Overall_Value.Minimum)"
"<RUN SUCCEEDED>";"20400";"750";"52,143699373578"
"<RUN SUCCEEDED>";"20500";"650";"52,4777755675963"
"<RUN SUCCEEDED>";"20500";"660";"52,4136709718818"
"<RUN SUCCEEDED>";"20500";"670";"52,3157068332427"
"<RUN SUCCEEDED>";"20500";"680";"52,2576468284999"
"<RUN SUCCEEDED>";"20500";"690";"52,30136936458"
"<RUN SUCCEEDED>";"20500";"700";"52,2574855962634"
"<RUN SUCCEEDED>";"20500";"710";"52,3513106993854"
"<RUN SUCCEEDED>";"20500";"720";"52,3883732205244"
"<RUN SUCCEEDED>";"20500";"730";"52,4423675678293"
"<RUN SUCCEEDED>";"20500";"740";"52,4245227025242"
"<RUN SUCCEEDED>";"20500";"750";"52,4424665393371"
"<RUN SUCCEEDED>";"20600";"650";"52,7760779401354"
"<RUN SUCCEEDED>";"20600";"660";"52,767065856999"
"<RUN SUCCEEDED>";"20600";"670";"52,7876535216635"
"<RUN SUCCEEDED>";"20600";"680";"52,7525997860203"
"<RUN SUCCEEDED>";"20600";"690";"52,7470707909376"
"<RUN SUCCEEDED>";"20600";"700";"52,6928196824353"
"<RUN SUCCEEDED>";"20600";"710";"52,6608868859162"
"<RUN SUCCEEDED>";"20600";"720";"52,618966612998"
"<RUN SUCCEEDED>";"20600";"730";"52,4681200558148"
"<RUN SUCCEEDED>";"20600";"740";"52,462373024079"
"<RUN SUCCEEDED>";"20600";"750";"52,4133974764756"
"<RUN SUCCEEDED>";"20700";"650";"52,7648375812401"
"<RUN SUCCEEDED>";"20700";"660";"52,6831554726249"
"<RUN SUCCEEDED>";"20700";"670";"52,6620503584525"
"<RUN SUCCEEDED>";"20700";"680";"52,6833287021272"
"<RUN SUCCEEDED>";"20700";"690";"52,668560795675"
"<RUN SUCCEEDED>";"20700";"700";"52,5974655376064"
"<RUN SUCCEEDED>";"20700";"710";"52,731248203332"
"<RUN SUCCEEDED>";"20700";"720";"52,8047113668789"
"<RUN SUCCEEDED>";"20700";"730";"52,7922392330428"
"<RUN SUCCEEDED>";"20700";"740";"52,7935835655537"
"<RUN SUCCEEDED>";"20700";"750";"52,7747850043029"
"<RUN SUCCEEDED>";"20800";"650";"53,1080043542076"
"<RUN SUCCEEDED>";"20800";"660";"53,1123395052208"
"<RUN SUCCEEDED>";"20800";"670";"53,0716976066427"
"<RUN SUCCEEDED>";"20800";"680";"53,0527667644752"
"<RUN SUCCEEDED>";"20800";"690";"53,0248250547988"
"<RUN SUCCEEDED>";"20800";"700";"52,9721068057752"
"<RUN SUCCEEDED>";"20800";"710";"52,8955423729325"
"<RUN SUCCEEDED>";"20800";"720";"52,8690066521604"
"<RUN SUCCEEDED>";"20800";"730";"52,8186893479845"
"<RUN SUCCEEDED>";"20800";"740";"52,78056304531"
"<RUN SUCCEEDED>";"20800";"750";"52,7349090327102"
"<RUN SUCCEEDED>";"20900";"650";"53,0934775903702"
"<RUN SUCCEEDED>";"20900";"660";"53,0568050374741"
"<RUN SUCCEEDED>";"20900";"670";"53,0299661450444"
"<RUN SUCCEEDED>";"20900";"680";"53,0752857526126"
"<RUN SUCCEEDED>";"20900";"690";"53,0467356351785"
"<RUN SUCCEEDED>";"20900";"700";"53,0780472930975"
"<RUN SUCCEEDED>";"20900";"710";"53,1343872110601"
"<RUN SUCCEEDED>";"20900";"720";"53,1428323279407"
"<RUN SUCCEEDED>";"20900";"730";"53,1233201567188"
"<RUN SUCCEEDED>";"20900";"740";"53,1998335304686"
"<RUN SUCCEEDED>";"20900";"750";"53,2093729088846"
